1	"TKCAD: AUFLÖSUNG / LIQUIDATION"									
1.1	"AUFLOESUNG / LIQUIDATION DOC-HEADER"	"Yes"	1	"Number"	0	"#TKCAD\CAD"	"CAD"	"Yes"	" "	
"1.1.1"	"DEFINITION DOC-TRANSAKTION"	"Yes"	0	"Number"	0	"#TKCAD\CAD\1"	"K801"	"Yes"	" "	
"1.1.1.1"	"VDF Releasenummer"	"Yes"	0	"Number"	3	"#TKCAD\CAD\1\1"	803	"Yes"	" "	
"1.1.1.2"	"DOC-Transaktions-ID"	"No"	0	"Alphanumeric"	20	"#TKCAD\CAD\1\2"	808	"Yes"	" "	
"1.1.1.3"	"DOC-Transaktionsart"	"No"	0	"Number"	3	"#TKCAD\CAD\1\3"	802	"Yes"	" "	"DOCTYPE"
"1.1.1.4"	"DOC-Transaktions-Flag"	"No"	0	"Alphanumeric"	3	"#TKCAD\CAD\1\4"	801	"Yes"	" "	"DOCFLAG"
"1.1.1.5"	"DOC-ID"	"Yes"	0	"Alphanumeric"	6	"#TKCAD\CAD\1\5"	804	"Yes"	" "	
"1.1.1.6"	"DOC-Generation"	"No"	0	"Number"	9	"#TKCAD\CAD\1\6"	813	"Yes"	" "	
"1.1.1.7"	"DOC-Verarbeitungsstatus"	"No"	0	"Number"	3	"#TKCAD\CAD\1\7"	814	"Yes"	" "	"DOCSTATUS"
"1.1.2"	"DEFINITION DOC-ZEITSTEMPEL (GMT)"	"No"	0	"Number"	0	"#TKCAD\CAD\2"	"K802"	"Yes"	" "	
"1.1.2.1"	"Datum"	"No"	0	"Alphanumeric"	8	"#TKCAD\CAD\2\1"	2801	"Yes"	" "	"DATE"
"1.1.2.2"	"Zeit"	"No"	0	"Alphanumeric"	9	"#TKCAD\CAD\2\2"	2802	"Yes"	" "	"TIME"
"1.1.3"	"Online-DOC-Generation"	"No"	0	"Number"	9	"#TKCAD\CAD\3\1"	812	"Yes"	" "	
"1.1.4"	"DOC-ZEITSTEMPEL LETZTE ORIGINÄRE ÄNDERUNG (GMT)"	"No"	0	"Number"	0	"#TKCAD\CAD\4"	"K802"	"Yes"	" "	
"1.1.4.1"	"Datum"	"No"	0	"Alphanumeric"	8	"#TKCAD\CAD\4\1"	2801	"Yes"	" "	"DATE"
"1.1.4.2"	"Zeit"	"No"	0	"Alphanumeric"	9	"#TKCAD\CAD\4\2"	2802	"Yes"	" "	"TIME"
1.2	"INSTITUTIONS-IDENTIFIKATION"	"Yes"	1	"Number"	0	"#TKCAD\GEI"	"GEI"	"No"	" "	
"1.2.1"	"SEGMENT- / ELEMENT-QUALIFIER"	"Yes"	0	"Number"	0	"#TKCAD\GEI\1"	"K991"	"No"	" "	
"1.2.1.1"	"Segment-Qualifier"	"Yes"	0	"Alphanumeric"	1	"#TKCAD\GEI\1\1"	991	"No"	" "	"SEGQUAL"
"1.2.1.2"	"Element-Qualifier"	"No"	0	"Alphanumeric"	50	"#TKCAD\GEI\1\2"	992	"No"	" "	"FIELDQUAL"
"1.2.2"	"INSTITUTIONS-IDENTIFIKATION"	"Yes"	0	"Number"	0	"#TKCAD\GEI\2"	"K985"	"No"	" "	
"1.2.2.1"	"Institutions-Schema"	"Yes"	0	"Alphanumeric"	8	"#TKCAD\GEI\2\1"	985	"No"	"H"	"INSTIIDSCHEME"
"1.2.2.2"	"Institutions-ID"	"Yes"	0	"Alphanumeric"	12	"#TKCAD\GEI\2\2"	3801	"No"	"H"	
1.3	"MELDUNGS-IDENTIFIKATION"	"Yes"	1	"Number"	0	"#TKCAD\MGG"	"MGG"	"Yes"	" "	
"1.3.1"	"SEGMENT- / ELEMENT-QUALIFIER"	"Yes"	0	"Number"	0	"#TKCAD\MGG\1"	"K991"	"Yes"	" "	
"1.3.1.1"	"Segment-Qualifier"	"Yes"	0	"Alphanumeric"	1	"#TKCAD\MGG\1\1"	991	"Yes"	" "	"SEGQUAL"
"1.3.1.2"	"Element-Qualifier"	"No"	0	"Alphanumeric"	50	"#TKCAD\MGG\1\2"	992	"Yes"	" "	"FIELDQUAL"
"1.3.2"	"Meldungsgegenstand"	"Yes"	0	"Number"	3	"#TKCAD\MGG\2\1"	7891	"Yes"	"H"	"K-200"
"1.3.3"	"Datum Ersterfassung"	"Yes"	0	"Alphanumeric"	8	"#TKCAD\MGG\3\1"	7892	"Yes"	"H"	"DATE"
"1.3.4"	"Laufnummer"	"Yes"	0	"Number"	3	"#TKCAD\MGG\4\1"	7893	"Yes"	"H"	
"1.3.5"	"FIDB-Identifikation"	"No"	0	"Number"	10	"#TKCAD\MGG\5\1"	7820	"Yes"	" "	
1.4	"MELDUNGS-INFORMATIONEN (ADMINISTRATION)"	"No"	2	"Number"	0	"#TKCAD\MGA"	"MGA"	"Yes"	" "	
"1.4.1"	"SEGMENT- / ELEMENT-QUALIFIER"	"Yes"	0	"Number"	0	"#TKCAD\MGA\1"	"K991"	"Yes"	" "	
"1.4.1.1"	"Segment-Qualifier"	"Yes"	0	"Alphanumeric"	1	"#TKCAD\MGA\1\1"	991	"Yes"	" "	"SEGQUAL"
"1.4.1.2"	"Element-Qualifier"	"No"	0	"Alphanumeric"	50	"#TKCAD\MGA\1\2"	992	"Yes"	" "	"FIELDQUAL"
"1.4.2"	"Meldungsart"	"No"	0	"Number"	3	"#TKCAD\MGA\2\1"	7894	"Yes"	"H"	"K-201"
"1.4.3"	"Meldungsstatus"	"No"	0	"Number"	3	"#TKCAD\MGA\3\1"	7895	"Yes"	"H"	"K-203"
"1.4.4"	"Datum letzte Mutation"	"No"	0	"Alphanumeric"	8	"#TKCAD\MGA\4\1"	2801	"Yes"	"H"	"DATE"
"1.4.5"	"Meldungstyp"	"No"	0	"Number"	3	"#TKCAD\MGA\5\1"	7896	"Yes"	"H"	"MESSGFLAG"
1.5	"INSTITUTIONS-KURZNAME"	"No"	6	"Number"	0	"#TKCAD\GEK"	"GEK"	"No"	" "	
"1.5.1"	"SEGMENT- / ELEMENT-QUALIFIER"	"Yes"	0	"Number"	0	"#TKCAD\GEK\1"	"K991"	"No"	" "	
"1.5.1.1"	"Segment-Qualifier"	"Yes"	0	"Alphanumeric"	1	"#TKCAD\GEK\1\1"	991	"No"	" "	"SEGQUAL"
"1.5.1.2"	"Element-Qualifier"	"No"	0	"Alphanumeric"	50	"#TKCAD\GEK\1\2"	992	"No"	" "	"FIELDQUAL"
"1.5.2"	"SPRACH-IDENTIFIKATION"	"Yes"	0	"Number"	0	"#TKCAD\GEK\2"	"K982"	"No"	" "	
